Profit Center,Valid To,Controlling Area,Valid From,Entered On,Created By,Field name of CO-PA characteristic,Department,Person Responsible for Profit Center,User Responsible,Currency,Successor profit center,Country/Region Key,Title,Name 1,Name 2,Name 3,Name 4,City,District,Street,PO Box,Postal Code,P.O. Box Postal Code,Language Key,Telebox number,Telephone 1,Telephone 2,Fax Number,Teletex number,Telex number,Data line,Printer name,Hierarchy Area,Company Code,Joint venture,Recovery Indicator,Equity type,Tax Jurisdiction,Region,Usage,Application,Procedure,Logical System,Lock indicator,PrCtr Formula Planning Template,Segment,Dummy function in length 1,Name,Long Text,Profit center short text for matchcode
149A,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,IAL,IAL,IAL
149T,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,PLB(HC)-CONS,PLB(HC)-CONS,PLB(HC)-CONS
14AA,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,PLANT & PJT 1,PLANT & PROJECT 1,PLANT & PJT 1
14AD,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,GENERAL ADMINISTRATI,GENERAL ADMINISTRATI,GENERAL ADMINISTRATI
14AM,9999-12-31 00:00:00,GBV3,2024-01-01 00:00:00,2024-11-13 00:00:00,ALCHAN,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,POWER & UTILITY,POWER & UTILITY,POWER & UTILITY
14BB,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,TYRE & MOBILITY,TYRE & MOBILITY,TYRE & MOBILITY
14BZ,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,MARINE,MARINE,MARINE
14CF,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2023-06-14 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,CFP,CFP,CFP
14CL,9999-12-31 00:00:00,GBV3,2025-01-01 00:00:00,2025-08-27 00:00:00,ALCHAN,,,GB14,,,,,,14CL,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,CAR LIFE,CAR LIFE,CAR LIFE
14CM,9999-12-31 00:00:00,GBV3,2025-01-01 00:00:00,2026-03-27 00:00:00,TNLE,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,CARMONEY,CARMONEY,CARMONEY
14CS,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,SOLAR POWER ASSETS,SOLAR POWER ASSETS,SOLAR POWER ASSETS
14CT,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,PLB(HC),PLB(HC),PLB(HC)
14EG,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,SUGAR,SUGAR,SUGAR
14EH,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,COFFEE,COFFEE,COFFEE
14EM,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,MARINE PRODUCTS,MARINE PRODUCTS,MARINE PRODUCTS
14EW,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,CONFECTIONARY,CONFECTIONARY,CONFECTIONARY
14FA,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,GRAIN & FEED,GRAIN & FEED,GRAIN & FEED
14FI,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,FIN.BUSINESS,FINANCIAL BUSINESS,FIN.BUSINESS
14FO,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,COCOA,COCOA,COCOA
14FR,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,FIRST RESPONSE,FIRST RESPONSE,FIRST RESPONSE
14FS,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,DAIRY PRODUCTS,DAIRY PRODUCTS,DAIRY PRODUCTS
14GA,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,GENERAL AFFAIRS,GENERAL AFFAIRS,GENERAL AFFAIRS
14GD,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,G.DIRECTOR,G.DIRECTOR,G.DIRECTOR
14GF,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,FUND CONTROL,FUND CONTROL,FUND CONTROL
14GK,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,AUDIT,AUDIT,AUDIT
14GN,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,ACCOUNTS,ACCOUNTS,ACCOUNTS
14GT,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,FINANCE,FINANCE,FINANCE
14GV,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,INFORMATION SYSTEM,INFORMATION SYSTEM,INFORMATION SYSTEM
14HF,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,FOOD DISTRIBUTION,FOOD DISTRIBUTION,FOOD DISTRIBUTION
14HP,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,PLASTICS,PLASTICS,PLASTICS
14HQ,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,AGRI PRODUCTS,AGRI PRODUCTS,AGRI PRODUCTS
14HR,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,HR,HR,HR
14HY,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,ENERGY-OLD,ENERGY-OLD,ENERGY-OLD
14IF,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,ITOCHU FIBRE LIMITED,ITOCHU FIBRE LIMITED,ITOCHU FIBRE LIMITED
14JI,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,Javelin Investment,Javelin Investment,JAVELIN INVESTMENT
14KA,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,AEROSPACE&DEFENSE,AEROSPACE&DEFENSE,AEROSPACE&DEFENSE
14KD,9999-12-31 00:00:00,GBV3,2024-01-01 00:00:00,2024-07-23 00:00:00,NANH,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,KILLICK AEROSPACE,KILLICK AEROSPACE,KILLICK AEROSPACE
14KK,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,IronOre&StealResouce,IronOre&StealResouce,IRONORE&STEALRESOUCE
14KR,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,PLATINUMGROUP METALS,PLATINUMGROUP METALS,PLATINUMGROUP METALS
14KV,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,ICT,ICT,ICT
14LD,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,CERAMIC MATERIAL,CERAMIC MATERIAL,CERAMIC MATERIAL
14LK,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,IND.TEXT.(TEAM),INDUSTRIAL TEXTILE (TEAM),IND.TEXT.(TEAM)
14LW,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,CARBON NEUTRAL,CARBON NEUTRAL,CARBON NEUTRAL
14LZ,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,BRAMHOPE,BRAMHOPE,BRAMHOPE
14MD,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,POWER PROJECT,POWER PROJECT,POWER PROJECT
14ME,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,SUGAR MIDDLE OFFICE,SUGAR MIDDLE OFFICE,SUGAR MIDDLE OFFICE
14MO,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,COCOA MIDDLE OFFICE,COCOA MIDDLE OFFICE,COCOA MIDDLE OFFICE
14MP,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,MCL PENSION,MCL PENSION,MCL PENSION
14NR,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,NON-FERROUS,NON-FERROUS,NON-FERROUS
14OM,9999-12-31 00:00:00,GBV3,2025-01-01 00:00:00,2025-03-29 00:00:00,ALCHAN,,,GB14,,,,GB,,14OM,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,Office Management,Office Management,OFFICE MANAGEMENT
14PA,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,PROMINENT EUROPE 1,PROMINENT EUROPE 1,PROMINENT EUROPE 1
14PB,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,PLB,PLB,PLB
14PC,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,PCC A/C CONTROL,PCC A/C CONTROL,PCC A/C CONTROL
14PJ,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,HR FOR EUROPE & CIS,HR FOR EUROPE & CIS,HR FOR EUROPE & CIS
14PN,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,D.B PENSION,D.B PENSION,D.B PENSION
14RD,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,Biz Dev & Res,Business Development&Research,BIZ DEV & RES
14RE,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,CAPITAL & RETAINED E,CAPITAL & RETAINED E,CAPITAL & RETAINED E
14RM,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,APPAREL3,APPAREL3,APPAREL3
14RS,9999-12-31 00:00:00,GBV3,2025-01-01 00:00:00,2026-03-27 00:00:00,TNLE,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,COKING COAL,COKING COAL,COKING COAL
14RT,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,APPAREL,APPAREL,APPAREL
14SJ,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,NUCLEAR FUEL & COAL,NUCLEAR FUEL & COAL,NUCLEAR FUEL & COAL
14SM,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,PAUL SMITH,PAUL SMITH,PAUL SMITH
14SN,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,BRAND MARKETING 1,BRAND MARKETING 1,BRAND MARKETING 1
14SO,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,BRAND MARKETING 2,BRAND MARKETING 2,BRAND MARKETING 2
14SR,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,BRAND MARKETING 3,BRAND MARKETING 3,BRAND MARKETING 3
14ST,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,ETEL,ETEL,ETEL
14TL,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,GENERAL A/C CONTROL,GENERAL A/C CONTROL,GENERAL A/C CONTROL
14UA,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,MEAT PRODUCTS,MEAT PRODUCTS,MEAT PRODUCTS
14UF,9999-12-31 00:00:00,GBV3,2024-01-01 00:00:00,2024-04-12 00:00:00,NTMLE,,,GB14,,,,GB,,14UF,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,MEAT PROCESSED FOOD,MEAT PROCESSED FOOD,MEAT PROCESSED FOOD
14UY,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,LEGAL,LEGAL,LEGAL
14UZ,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,GB,,14UZ,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,AA & RM,AA & RM,AA & RM
14VI,9999-12-31 00:00:00,GBV3,2024-01-01 00:00:00,2024-04-12 00:00:00,NTMLE,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,RAWMATERIAL＆WORKWEAR,RAWMATERIAL＆WORKWEAR,RAWMATERIAL＆WORKWEAR
14VK,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,AUTOMOBILE,AUTOMOBILE,AUTOMOBILE
14WA,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,PLANT PRJ & INFRA,PLANT PROJECT & INFRASTRUCTURE,PLANT PRJ & INFRA
14WE,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,WINCH ENERGY,WINCH ENERGY,WINCH ENERGY
14X1,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,FUND CONTROL-CONS,FUND CONTROL-CONS,FUND CONTROL-CONS
14X2,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,GENERAL ADMINIS-CONS,GENERAL ADMINIS-CONS,GENERAL ADMINIS-CONS
14X3,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,GENERAL A/C CON-CONS,GENERAL A/C CON-CONS,GENERAL A/C CON-CONS
14X4,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,CAPITAL & RETAI-CONS,CAPITAL & RETAI-CONS,CAPITAL & RETAI-CONS
14XA,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,PROMINENT EUROP-CONS,PROMINENT EUROP-CONS,PROMINENT EUROP-CONS
14XB,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,AUTOMOBILE-CONS,AUTOMOBILE-CONS,AUTOMOBILE-CONS
14XC,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,PLB-CONS,PLB-CONS,PLB-CONS
14XF,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,ETEL-CONS,ETEL-CONS,ETEL-CONS
